t_session_s,throttle_pct,brake_pa,steering_rad,rpm,lat_g,long_g,speed_mps,gear
0.0,12.0,0,0.01,3200,0.1,0.2,38.5,3
0.02,12.5,1000,0.015,3230,0.12000000000000001,0.22,38.6,3
0.04,13.0,2000,0.02,3260,0.14,0.24000000000000002,38.7,3
0.06,13.5,3000,0.025,3290,0.16,0.26,38.8,3
0.08,14.0,4000,0.03,3320,0.18,0.28,38.9,3
0.1,14.5,0,0.035,3350,0.2,0.30000000000000004,39.0,3
0.12,15.0,1000,0.04,3380,0.22,0.32,39.1,3
0.14,15.5,2000,0.045000000000000005,3410,0.24000000000000002,0.34,39.2,3
0.16,16.0,3000,0.05,3440,0.26,0.36,39.3,3
0.18,16.5,4000,0.055,3470,0.28,0.38,39.4,3
0.2,17.0,0,0.060000000000000005,3500,0.30000000000000004,0.4,39.5,3
0.22,17.5,1000,0.065,3530,0.32,0.42000000000000004,39.6,3
0.24,18.0,2000,0.06999999999999999,3560,0.33999999999999997,0.44,39.7,3
0.26,18.5,3000,0.075,3590,0.36,0.46,39.8,3
0.28,19.0,4000,0.08,3620,0.38,0.48000000000000004,39.9,3
0.3,19.5,0,0.08499999999999999,3650,0.4,0.5,40.0,3
0.32,20.0,1000,0.09,3680,0.42000000000000004,0.52,40.1,3
0.34,20.5,2000,0.095,3710,0.44000000000000006,0.54,40.2,3
0.36,21.0,3000,0.09999999999999999,3740,0.45999999999999996,0.56,40.3,3
0.38,21.5,4000,0.105,3770,0.48,0.5800000000000001,40.4,3
0.4,22.0,0,0.11,3800,0.5,0.6000000000000001,40.5,3
0.42,22.5,1000,0.11499999999999999,3830,0.52,0.62,40.6,3
0.44,23.0,2000,0.12,3860,0.54,0.64,40.7,3
0.46,23.5,3000,0.125,3890,0.56,0.66,40.8,3
0.48,24.0,4000,0.13,3920,0.58,0.6799999999999999,40.9,3
0.5,24.5,0,0.135,3950,0.6,0.7,41.0,3
0.52,25.0,1000,0.14,3980,0.62,0.72,41.1,3
0.54,25.5,2000,0.14500000000000002,4010,0.64,0.74,41.2,3
0.56,26.0,3000,0.15000000000000002,4040,0.66,0.76,41.3,3
0.58,26.5,4000,0.155,4070,0.6799999999999999,0.78,41.4,3
0.6,27.0,0,0.16,4100,0.7,0.8,41.5,4
0.62,27.5,1000,0.165,4130,0.72,0.8200000000000001,41.6,4
0.64,28.0,2000,0.17,4160,0.74,0.8400000000000001,41.7,4
0.66,28.5,3000,0.17500000000000002,4190,0.76,0.8600000000000001,41.8,4
0.68,29.0,4000,0.18000000000000002,4220,0.78,0.8800000000000001,41.9,4
0.7,29.5,0,0.18500000000000003,4250,0.8,0.9000000000000001,42.0,4
0.72,30.0,1000,0.19,4280,0.82,0.9199999999999999,42.1,4
0.74,30.5,2000,0.195,4310,0.84,0.94,42.2,4
0.76,31.0,3000,0.2,4340,0.86,0.96,42.3,4
0.78,31.5,4000,0.20500000000000002,4370,0.88,0.98,42.4,4
0.8,32.0,0,0.21000000000000002,4400,0.9,1.0,42.5,4
0.82,32.5,1000,0.21500000000000002,4430,0.92,1.02,42.6,4
0.84,33.0,2000,0.22,4460,0.94,1.04,42.7,4
0.86,33.5,3000,0.225,4490,0.96,1.06,42.8,4
0.88,34.0,4000,0.23,4520,0.98,1.08,42.9,4
0.9,34.5,0,0.23500000000000001,4550,1.0,1.1,43.0,4
0.92,35.0,1000,0.24000000000000002,4580,1.02,1.12,43.1,4
0.94,35.5,2000,0.24500000000000002,4610,1.04,1.1400000000000001,43.2,4
0.96,36.0,3000,0.25,4640,1.06,1.16,43.3,4
0.98,36.5,4000,0.255,4670,1.08,1.18,43.4,4
1.0,37.0,0,0.26,4700,1.1,1.2,43.5,4
1.02,37.5,1000,0.265,4730,1.12,1.22,43.6,4
1.04,38.0,2000,0.27,4760,1.1400000000000001,1.24,43.7,4
1.06,38.5,3000,0.275,4790,1.1600000000000001,1.26,43.8,4
1.08,39.0,4000,0.28,4820,1.1800000000000002,1.28,43.9,4
1.1,39.5,0,0.28500000000000003,4850,1.2000000000000002,1.3,44.0,4
1.12,40.0,1000,0.29000000000000004,4880,1.2200000000000002,1.32,44.1,4
1.14,40.5,2000,0.29500000000000004,4910,1.2400000000000002,1.34,44.2,4
1.16,41.0,3000,0.3,4940,1.26,1.3599999999999999,44.3,4
1.18,41.5,4000,0.305,4970,1.28,1.38,44.4,4
