# FICTIONAL PERSONA — Sarah Reynolds is not a real driver.
# See docs/sarah-reynolds-persona.md for the design rationale.
# This 10-row stub exists ONLY to drive Phase 0 task 0.5 Stage C SCP spike
# (D-027 go/no-go gate). Full ~5-lap Donington telemetry lands at Phase 3
# task 3.2 in fixtures/personas/sarah-reynolds-telemetry.csv.
# Channel order matches app/backend/apex/shared/contracts/shapes.py CHANNELS.
# Scenario: 10 timesteps at 1 Hz capturing brake-to-turn-in-to-exit of one corner.
throttle_pct,brake_pa,steering_rad,rpm,lat_g,long_g,speed_mps,gear,coa_overlap_flag,tire_load_n,mu_v,track_pitch_rad,track_bank_rad,yaw_rate_rad_s
85.0,0.0,0.02,7200,0.10,0.45,52.0,5,1,3600.0,1.30,0.005,-0.012,0.08
45.0,0.0,0.05,7100,0.20,0.20,52.5,5,1,3650.0,1.30,0.005,-0.012,0.15
0.0,2800000.0,0.08,6800,0.35,-0.95,49.5,5,1,3900.0,1.28,0.004,-0.014,0.28
0.0,4200000.0,0.18,6200,0.65,-1.20,44.0,4,1,4150.0,1.26,0.003,-0.016,0.52
0.0,3600000.0,0.32,5700,1.05,-0.85,39.0,4,1,4300.0,1.24,0.002,-0.018,0.78
0.0,1800000.0,0.45,5400,1.30,-0.40,35.5,4,1,4200.0,1.22,0.000,-0.020,0.95
20.0,0.0,0.48,5500,1.32,0.15,35.0,4,1,4050.0,1.22,-0.001,-0.020,0.98
55.0,0.0,0.40,5900,1.18,0.55,36.5,4,1,3900.0,1.23,-0.002,-0.018,0.85
80.0,0.0,0.25,6500,0.85,0.85,40.0,4,1,3750.0,1.24,-0.003,-0.015,0.55
100.0,0.0,0.10,7000,0.40,1.05,44.5,5,1,3650.0,1.26,-0.004,-0.012,0.22
