# FICTIONAL PERSONA - Sarah Reynolds Donington 2026 5-lap synthetic trace.
# See docs/sarah-reynolds-persona.md + fixtures/personas/sarah-reynolds-coa-stub.json.
# Generated deterministically by apex.instruct.sarah_synth (seed=42).
# 1 Hz mini-sector aggregation; 5 laps x 60 sec = 300 rows; CHANNELS order matches shapes.py.
throttle_pct,brake_pa,steering_rad,rpm,lat_g,long_g,speed_mps,gear,coa_overlap_flag,tire_load_n,mu_v,track_pitch_rad,track_bank_rad,yaw_rate_rad_s
50.0000,0.0000,0.0000,7886.0943,0.0000,0.0000,57.8317,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7859.2003,0.0000,0.0000,57.9665,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7895.0090,0.0000,0.0000,58.0163,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7898.8113,0.0000,0.0000,58.0586,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7840.9793,0.0000,0.0000,58.0711,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7853.9564,0.0000,0.0000,58.0793,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7882.5568,0.0000,0.0000,57.9651,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
0.0000,1791395.8337,0.0439,7390.4013,1.1133,-0.4478,53.5604,5.0000,1.0000,6218.9393,1.2277,0.0030,-0.0150,0.2037
0.0000,4000000.0000,0.1500,6229.6640,0.6633,-1.0000,43.0858,4.0000,1.0000,5600.0000,1.2367,0.0030,-0.0150,0.1513
0.0000,4000000.0000,0.2561,5046.2129,0.6633,-1.0000,32.3743,3.0000,1.0000,4539.3398,1.2367,0.0030,-0.0150,0.2009
0.0000,1791395.8337,0.3000,4597.5880,1.1133,-0.4478,27.8724,3.0000,1.0000,3658.2792,1.2277,0.0030,-0.0150,0.3901
72.3924,0.0000,0.2561,5078.8296,1.1133,0.4478,32.2801,3.0000,1.0000,3739.3398,1.2277,0.0030,-0.0150,0.3372
75.0000,0.0000,0.1500,6231.3206,0.6633,1.0000,42.9081,4.0000,1.0000,4800.0000,1.2367,0.0030,-0.0150,0.1513
75.0000,0.0000,0.0439,7419.2710,0.6633,1.0000,53.6563,5.0000,1.0000,5860.6602,1.2367,0.0030,-0.0150,0.1214
72.3924,0.0000,0.0000,7889.3502,0.0000,0.4478,58.0142,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7862.8142,0.0000,0.0000,58.0690,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7887.3750,0.0000,0.0000,57.9573,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7860.8223,0.0000,0.0000,58.0159,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7897.5690,0.0000,0.0000,58.0626,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7879.0015,0.0000,0.0000,57.9691,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,-0.0000,7876.3028,0.0000,0.0000,58.0457,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
0.0000,2149675.0005,-0.0439,7286.4528,-1.0729,-0.5374,52.6617,5.0000,1.0000,6202.7272,1.2285,0.0030,-0.0150,-0.1996
0.0000,4000000.0000,-0.1500,5924.4508,-0.6633,-1.0000,39.9637,4.0000,1.0000,5300.0000,1.2367,0.0030,-0.0150,-0.1627
0.0000,4000000.0000,-0.2561,4496.8380,-0.6633,-1.0000,27.2339,3.0000,1.0000,4027.2078,1.2367,0.0030,-0.0150,-0.2386
0.0000,2149675.0005,-0.3000,3911.4334,-1.0729,-0.5374,21.8804,2.0000,1.0000,3129.9350,1.2285,0.0030,-0.0150,-0.4784
75.0000,0.0000,-0.2561,4492.8859,-1.0729,0.5374,27.3208,3.0000,1.0000,3227.2078,1.2285,0.0030,-0.0150,-0.3859
75.0000,0.0000,-0.1500,5910.6462,-0.6633,1.0000,39.9531,4.0000,1.0000,4500.0000,1.2367,0.0030,-0.0150,-0.1627
75.0000,0.0000,-0.0439,7307.3803,-0.6633,1.0000,52.7292,5.0000,1.0000,5772.7922,1.2367,0.0030,-0.0150,-0.1234
75.0000,0.0000,-0.0000,7888.2547,0.0000,0.5374,58.0481,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7888.6164,0.0000,0.0000,58.0447,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7922.8330,0.0000,0.0000,58.0665,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7871.8717,0.0000,0.0000,57.9902,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
50.0000,0.0000,0.0000,7869.7551,0.0000,0.0000,57.9577,5.0000,1.0000,6300.0000,1.2500,0.0030,-0.0150,0.0000
